name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Sceaux,2009-08-28,22.5,15.9,18.8,22.5,15.9,18.8,9.3,56.3,0,0,0,,0,0,53,23.9,267.5,1017,50.9,25,,,,,2009-08-28T07:01:57,2009-08-28T20:41:08,0.26,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-29,21.7,11.3,16.6,21.7,11.3,16.6,8.3,60.6,0,0,0,,0,0,45.1,20.9,291.8,1022.4,26.4,19.7,,,,,2009-08-29T07:03:22,2009-08-29T20:39:07,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-30,23.6,10,17.4,23.6,10,17.4,8,57.3,0,0,0,,0,0,32.1,10.5,244.2,1021.9,27.6,20.7,,,,,2009-08-30T07:04:46,2009-08-30T20:37:06,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-08-31,28.9,13.5,21.7,27.6,13.5,21.3,7.5,43.3,0,0,0,,0,0,59.2,17.9,150,1014.6,4.9,23.2,,,,,2009-08-31T07:06:11,2009-08-31T20:35:04,0.36,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-01,23.2,17,19.5,23.2,17,19.5,13.7,71,4.376,100,29.17,rain,0,0,29.3,15.2,211.7,1011.5,53.3,21.6,,,,,2009-09-01T07:07:36,2009-09-01T20:33:02,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-02,21,12.7,17,21,12.7,17,11.4,70.5,1.292,100,12.5,rain,0,0,42.9,22,203.9,1013.7,67.6,24.8,,,,,2009-09-02T07:09:00,2009-09-02T20:30:59,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-03,19.6,13.6,16.6,19.6,13.6,16.6,11.3,72.8,1.575,100,25,rain,0,0,57.6,28.1,241.3,1007.1,81.7,19.5,,,,,2009-09-03T07:10:25,2009-09-03T20:28:55,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-04,16.8,12.3,14,16.8,12.3,14,10.4,79.8,8.155,100,41.67,rain,0,0,69,23.7,271.8,1011.1,64,18.8,,,,,2009-09-04T07:11:50,2009-09-04T20:26:51,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-05,17.8,10.1,14.1,17.8,10.1,14.1,9.3,73.8,0,0,0,,0,0,39.4,16,275.6,1023.6,42.1,20.9,,,,,2009-09-05T07:13:14,2009-09-05T20:24:47,0.53,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-06,21.4,9,15.4,21.4,9,15.4,9.7,71.2,0,0,0,,0,0,22.7,8.8,182.8,1025.2,28.5,18.8,,,,,2009-09-06T07:14:39,2009-09-06T20:22:42,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-07,25.6,11.2,18.2,25.6,11.2,18.2,11.4,67.4,0,0,0,,0,0,21.8,9.5,147.8,1020.4,26.8,20,,,,,2009-09-07T07:16:04,2009-09-07T20:20:37,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-08,28.5,13.3,20.9,27.8,13.3,20.7,12,60.6,0,0,0,,0,0,22.4,9.7,157.7,1020.5,30.7,21.6,,,,,2009-09-08T07:17:28,2009-09-08T20:18:31,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-09,24,15.7,19.6,24,15.7,19.6,14,70.9,0,0,0,,0,0,38,18.6,9.7,1022.8,61.5,19.5,,,,,2009-09-09T07:18:53,2009-09-09T20:16:25,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-10,22,15.3,17.9,22,15.3,17.9,13.1,74.6,0.215,100,16.67,rain,0,0,48.7,22.9,20.6,1028.6,63.4,16.3,,,,,2009-09-10T07:20:18,2009-09-10T20:14:19,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-11,21,12.8,16.4,21,12.8,16.4,9.8,66.1,0,0,0,,0,0,47.1,24.5,30.7,1029.7,65.6,21.4,,,,,2009-09-11T07:21:42,2009-09-11T20:12:13,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-12,20.5,12.6,16.3,20.5,12.6,16.3,9.5,65.8,0,0,0,,0,0,46.4,25.7,33.6,1025.2,46.9,20.4,,,,,2009-09-12T07:23:07,2009-09-12T20:10:06,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-13,18.6,11.6,15.5,18.6,11.6,15.5,10.1,71.1,0,0,0,,0,0,48.7,22.6,21.3,1023.1,44.7,18.8,,,,,2009-09-13T07:24:32,2009-09-13T20:07:59,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-14,18.4,11.9,15,18.4,11.9,15,10.3,74.5,7.428,100,12.5,rain,0,0,54.4,23.2,20.2,1019.5,81.5,18.2,,,,,2009-09-14T07:25:57,2009-09-14T20:05:52,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-15,17.1,11.9,13.8,17.1,11.9,13.8,9.8,77.7,0.828,100,8.33,rain,0,0,34.7,17.5,46.4,1015.2,74.1,15.5,,,,,2009-09-15T07:27:22,2009-09-15T20:03:44,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-16,19.7,12.4,15.5,19.7,12.4,15.5,12.2,81.1,0,0,0,,0,0,55.7,27.2,25.7,1013.7,85,10.6,,,,,2009-09-16T07:28:46,2009-09-16T20:01:37,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-17,18.1,14.1,16.4,18.1,14.1,16.4,12.5,78.3,0,0,0,,0,0,46.7,23.5,29.7,1015.2,97.9,10.1,,,,,2009-09-17T07:30:11,2009-09-17T19:59:29,0.95,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-18,23.1,15.7,18.8,23.1,15.7,18.8,14,74.2,0,0,0,,0,0,31.4,16.7,66.6,1014.4,64.3,12.9,,,,,2009-09-18T07:31:37,2009-09-18T19:57:22,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-19,23.5,15.5,19.1,23.5,15.5,19.1,13.6,72.1,0,0,0,,0,0,35.5,11.7,136.5,1014.4,53.4,16.9,,,,,2009-09-19T07:33:02,2009-09-19T19:55:14,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07146099999,07156099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-20,22.6,13.9,18.2,22.6,13.9,18.2,14.2,78.3,0,0,0,,0,0,31.7,11.2,299.7,1019.6,55.6,12.9,,,,,2009-09-20T07:34:27,2009-09-20T19:53:06,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-21,22,14,17.8,22,14,17.8,13.7,78.2,0,0,0,,0,0,29.2,13.7,356.7,1024.9,40.9,8.9,,,,,2009-09-21T07:35:53,2009-09-21T19:50:58,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-22,23.2,12.1,17.4,23.2,12.1,17.4,11.9,72.2,0.043,100,8.33,rain,0,0,26.3,10.3,319.5,1026.6,34.3,12.9,,,,,2009-09-22T07:37:18,2009-09-22T19:48:51,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-23,21.4,11,15.8,21.4,11,15.8,10.9,74.5,0,0,0,,0,0,25.7,13.5,350.4,1026.7,35.9,14.4,,,,,2009-09-23T07:38:44,2009-09-23T19:46:43,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-24,21,12.9,16.3,21,12.9,16.3,13.2,82.7,0.004,100,4.17,rain,0,0,29.6,12.9,18.7,1024.9,63.6,14.7,,,,,2009-09-24T07:40:10,2009-09-24T19:44:36,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-25,20.6,9.9,15.3,20.6,8.4,15.3,8.1,64.7,0,0,0,,0,0,31.8,14.4,10.4,1025.8,14.8,21.8,,,,,2009-09-25T07:41:36,2009-09-25T19:42:28,0.21,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-26,20.9,10,15.4,20.9,10,15.4,7.9,63.2,0,0,0,,0,0,30.9,12.6,16.9,1025.4,1.6,17.2,,,,,2009-09-26T07:43:02,2009-09-26T19:40:21,0.25,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-27,22.6,10.5,16.3,22.6,10.5,16.3,8.6,62.2,0,0,0,,0,0,23.3,10.1,9,1025.4,2.5,16.4,,,,,2009-09-27T07:44:28,2009-09-27T19:38:14,0.28,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-28,21.2,11,16.1,21.2,11,16.1,9.9,68.3,0,0,0,,0,0,21.3,12.1,342.3,1025.5,35.7,11.1,,,,,2009-09-28T07:45:55,2009-09-28T19:36:07,0.31,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-29,21,13.3,16.4,21,13.3,16.4,10.9,71.3,0,0,0,,0,0,22.3,11.8,354.1,1022.7,67.2,13.3,,,,,2009-09-29T07:47:21,2009-09-29T19:34:01,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-09-30,20.8,10.9,15.9,20.8,10.9,15.9,11.6,76.9,0,0,0,,0,0,21.8,12.2,1.7,1018.8,56.6,14.9,,,,,2009-09-30T07:48:48,2009-09-30T19:31:55,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-10-01,19.2,12.9,15.9,19.2,12.9,15.9,10.3,70.2,0,0,0,,0,0,34.3,13.4,336.5,1017.3,66.8,17.9,,,,,2009-10-01T07:50:15,2009-10-01T19:29:49,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-10-02,16.8,8.7,12.8,16.8,8.7,12.9,7.8,73,0,0,0,,0,0,27.8,14,309.4,1019.7,38.9,18.2,,,,,2009-10-02T07:51:43,2009-10-02T19:27:43,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-10-03,17,6.9,12,17,6.1,11.9,6,68.4,0,0,0,,0,0,44.2,24.6,243,1016.5,54.6,19.9,,,,,2009-10-03T07:53:10,2009-10-03T19:25:38,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-10-04,17.8,13,15.2,17.8,13,15.2,8.2,63.3,0,0,0,,0,0,35.7,20.2,230.7,1015.1,88.4,23.4,,,,,2009-10-04T07:54:38,2009-10-04T19:23:33,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-10-05,20,12.1,15.6,20,12.1,15.6,12.1,80.6,7.125,100,20.83,rain,0,0,45.5,21.1,185.1,1011.9,75.1,17.6,,,,,2009-10-05T07:56:06,2009-10-05T19:21:29,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-10-06,22.1,15.2,18,22.1,15.2,18,16.1,89,7.207,100,29.17,rain,0,0,39.3,15.2,202.8,1012.4,72.6,14.4,,,,,2009-10-06T07:57:35,2009-10-06T19:19:25,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-10-07,24.4,15.9,19.1,24.4,15.9,19.1,16.2,84.1,3.226,100,25,rain,0,0,92.5,17.9,186.6,1011.1,62.4,14.5,,,,,2009-10-07T07:59:04,2009-10-07T19:17:22,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-10-08,21.4,15.5,17.5,21.4,15.5,17.5,15.4,88.3,2.502,100,33.33,rain,0,0,36.2,14.5,258,1013.7,75.7,12.4,,,,,2009-10-08T08:00:32,2009-10-08T19:15:19,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
Sceaux,2009-10-09,17.8,13.7,15.5,17.8,13.7,15.5,13.7,88.9,2.44,100,20.83,rain,0,0,25.9,13.4,92.2,1016.7,93.2,9.7,,,,,2009-10-09T08:02:02,2009-10-09T19:13:17,0.68,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07147099999,07150099999"
